address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
1356 Centre Court Ridge Dr #303,Reunion,FL,34747,410000,3,3,1590,1842,townhouse,S5153768,https://www.redfin.com/FL/Reunion/1356-Centre-Court-Ridge-Dr-34747/unit-303/home/46506205,kissimmee,34747
1301 Seven Eagles Ct #1301,Reunion,FL,34747,410000,3,3,2124,1254,townhouse,O6417474,https://www.redfin.com/FL/Reunion/1301-Seven-Eagles-Ct-34747/unit-1301/home/179057237,kissimmee,34747
2361 Andrews Valley Dr,Kissimmee,FL,34758,410000,5,2.5,2566,42,single_family,O6429963,https://www.redfin.com/FL/Kissimmee/2361-Andrews-Valley-Dr-34758/for-sale/46489479,kissimmee,34758
4612 Cabalerro Trl,Kissimmee,FL,34758,410000,4,2.5,2735,133,single_family,S5144328,https://www.redfin.com/FL/Kissimmee/4612-Cabalerro-Trl-34758/home/46499705,kissimmee,34758
Macaw Plan,Kissimmee,FL,34758,410999,6,5,3001,,single_family,8021052961C6,https://www.redfin.com/FL/Kissimmee/Kissimmee/Macaw/home/201703179,kissimmee,34758
2380 Volunteer Ave,Kissimmee,FL,34744,411000,3,2,2068,10,single_family,S5154653,https://www.redfin.com/FL/Kissimmee/2380-Volunteer-Ave-34744/for-sale/175624178,kissimmee,34744
2015 Spring Shower Cir,Kissimmee,FL,34744,412000,3,2,2054,128,single_family,S5130256,https://www.redfin.com/FL/Kissimmee/2015-Spring-Shower-Cir-34744/home/177664304,kissimmee,34744
2943 Eagle Lake Dr,Orlando,FL,32837,413000,3,2,1886,124,single_family,O6425881,https://www.redfin.com/FL/Orlando/2943-Eagle-Lake-Dr-32837/for-sale/46913294,kissimmee,32837
2600 Shortleaf,Kissimmee,FL,34746,414000,4,2,1959,30,single_family,L4961677,https://www.redfin.com/FL/Kissimmee/2600-Shortleaf-Ct-34746/home/46550727,kissimmee,34746
2331 Peppercorn St,Kissimmee,FL,34741,414500,3,2,1769,25,single_family,L4962084,https://www.redfin.com/FL/Kissimmee/2331-Peppercorn-St-34741/home/46545134,kissimmee,34741
2268 Victoria Falls Dr,Orlando,FL,32824,414900,4,2,1731,59,single_family,S5150090,https://www.redfin.com/FL/Orlando/2268-Victoria-Falls-Dr-32824/home/46608739,kissimmee,32824
11245 Dacre Ln,Orlando,FL,32824,415000,4,2.5,2192,37,single_family,O6388721,https://www.redfin.com/FL/Orlando/11245-Dacre-Ln-32824/home/46961345,kissimmee,32824
622 Colorado Woods Ct,Orlando,FL,32824,415000,4,2.5,1781,,single_family,O6411369,https://www.redfin.com/FL/Orlando/622-Colorado-Woods-Ct-32824/home/46859664,kissimmee,32824
1730 Ribbon Falls Pkwy,Orlando,FL,32824,415000,3,2,1770,56,single_family,O6303063,https://www.redfin.com/FL/Orlando/1730-Ribbon-Falls-Pkwy-32824/home/46620849,kissimmee,32824
3513 Mcallister Way,Orlando,FL,32837,415000,3,2,1782,29,single_family,O6426399,https://www.redfin.com/FL/Orlando/3513-McAllister-Way-32837/for-sale/46946251,kissimmee,32837
2994 Big Sky Blvd,Kissimmee,FL,34744,415000,3,2,2700,,single_family,S5153486,https://www.redfin.com/FL/Kissimmee/2994-Big-Sky-Blvd-34744/home/46569910,kissimmee,34744
4366 Silver Creek St,Kissimmee,FL,34744,415000,3,2.5,1878,123,single_family,O6428451,https://www.redfin.com/FL/Kissimmee/4366-Silver-Creek-St-34744/for-sale/168017354,kissimmee,34744
1492 Sophie Way,Kissimmee,FL,34744,415000,3,2,1917,33,single_family,397627,https://www.redfin.com/FL/Kissimmee/1492-Sophie-Way-34744/home/46548136,kissimmee,34744
2401 Volunteer Ave,Kissimmee,FL,34744,415000,4,3,2044,120,single_family,O6408166,https://www.redfin.com/FL/Kissimmee/2401-Volunteer-Ave-34744/home/177664572,kissimmee,34744
2661 Breaker Ln,Kissimmee,FL,34746,415000,4,2.5,2544,355,single_family,1229012,https://www.redfin.com/FL/Kissimmee/2661-Breaker-Ln-34746/for-sale/46488951,kissimmee,34746
3951 Santa Barbara Rd,Kissimmee,FL,34746,415000,3,2,1687,,single_family,S5151476,https://www.redfin.com/FL/Kissimmee/3951-Santa-Barbara-Rd-34746/home/46548154,kissimmee,34746
9025 Rhodes St,Kissimmee,FL,34747,415000,5,4.5,2263,580,condo,O6430843,https://www.redfin.com/FL/Kissimmee/9025-Rhodes-St-34747/home/147928054,kissimmee,34747
2968 ON The Rocks Pt,Kissimmee,FL,34747,415000,3,3,1545,780,condo,TB8523622,https://www.redfin.com/FL/Kissimmee/2968-On-the-Rocks-Pt-34747/home/177663250,kissimmee,34747
4902 Pall Mall St E,Kissimmee,FL,34758,415000,4,2.5,2139,278,single_family,S5153223,https://www.redfin.com/FL/Kissimmee/4902-Pall-Mall-St-34758/home/54772932,kissimmee,34758
4781 Marcos Cir,Kissimmee,FL,34758,415000,4,2.5,1900,108,single_family,O6378157,https://www.redfin.com/FL/Kissimmee/4781-Marcos-Cir-34758/home/170048828,kissimmee,34758
