address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
1437 Tern Ct,Poinciana,FL,34759,36000,,,,100,8,S5151109,https://www.redfin.com/FL/Poinciana/1437-Tern-Ct-34759/home/46263510,poinciana,34759
Lemon Dr,Lake Wales,FL,33898,37000,,,,,8,L4962648,https://www.redfin.com/FL/Lake-Wales/Lemon-Dr-33898/home/46198206,poinciana,33898
2000 Lemon Dr,Lake Wales,FL,33898,37000,,,,,8,L4962632,https://www.redfin.com/FL/Lake-Wales/2000-Lemon-Dr-33898/home/46198328,poinciana,33898
1255 Baltic Dr,Poinciana,FL,34759,38000,,,,27,8,S5154936,https://www.redfin.com/FL/Poinciana/1255-Baltic-Dr-34759/home/46256331,poinciana,34759
0 Perch Dr,Poinciana,FL,34759,38000,,,,3,8,1080733,https://www.redfin.com/FL/Poinciana/Perch-Dr-34759/home/46101312,poinciana,34759
2548 Rock Pl,Poinciana,FL,34759,38000,,,,35,8,1080979,https://www.redfin.com/FL/Poinciana/2548-Rock-Pl-34759/home/46170710,poinciana,34759
0 Rock Ct,Poinciana,FL,34759,38000,,,,3,8,1080871,https://www.redfin.com/FL/Poinciana/Rock-Ct-34759/home/46170874,poinciana,34759
00 Perch Dr,Poinciana,FL,34759,38000,,,,3,8,1080869,https://www.redfin.com/FL/Poinciana/Perch-Dr-34759/home/46101290,poinciana,34759
00 Rock Ct,Poinciana,FL,34759,38000,,,,3,8,1080873,https://www.redfin.com/FL/Poinciana/Rock-Ct-34759/home/46170708,poinciana,34759
2542 Rock Pl,Poinciana,FL,34759,38000,,,,35,8,1080981,https://www.redfin.com/FL/Poinciana/2542-Rock-Pl-34759/home/46170704,poinciana,34759
377 Amberjack Ct,Poinciana,FL,34759,38500,,,,35,8,C7527017,https://www.redfin.com/FL/Poinciana/377-Amberjack-Ct-34759/home/46260342,poinciana,34759
Shady Oaks Dr,Lake Wales,FL,33898,39000,,,,,8,O6267587,https://www.redfin.com/FL/Lake-Wales/Shady-Oaks-Dr-33898/home/46112740,poinciana,33898
River Ranch Blvd,Frostproof,FL,33843,39000,,,,,8,TB8463903,https://www.redfin.com/FL/Frostproof/River-Ranch-Blvd-33843/home/47181782,poinciana,33898
Mediterranean Ct,Poinciana,FL,34759,39000,,,,90,8,C7526987,https://www.redfin.com/FL/Poinciana/Unknown-34759/home/46255440,poinciana,34759
Unnassigned,Frostproof,FL,33843,39800,,,,,8,A4698867,https://www.redfin.com/FL/Frostproof/Unknown-33843/home/162619133,poinciana,33898
7371 International Cir,Lake Wales,FL,33898,39900,,,,125,8,S5149054,https://www.redfin.com/FL/Lake-Wales/7371-International-Cir-33898/home/46160181,poinciana,33898
108 EL Dorado Dr,Indian Lake Estates,FL,33855,39900,,,,66,8,S5140357,https://www.redfin.com/FL/Indian-Lake-Estates/108-El-Dorado-Dr-33855/home/46116325,poinciana,33898
611 Alafia Pl,Poinciana,FL,34759,39999,,,,35,8,O6410318,https://www.redfin.com/FL/Poinciana/611-Alafia-Pl-34759/home/46256199,poinciana,34759
3175 Walk In Water Rd,Lake Wales,FL,33898,40000,,,,,8,A12024852,https://www.redfin.com/FL/Lake-Wales/3175-Walk-in-Water-Rd-33898/home/54689914,poinciana,33898
